camera_id,Point,Location1,Location2,Camera Angle,SnapshotUrl
662b86c41afb9c00172dd31c,POINT(106.691054105759 10.7918902432446),,Trần Quang Khải - Trần Khắc Chân,,http://camera.thongtingiaothong.vn/api/snapshot/662b86c41afb9c00172dd31c
6623f4df6f998a001b2528eb,POINT(106.713809967041 10.8361932799182),,Quốc Lộ 13 - cầu Ông Dầu,,http://camera.thongtingiaothong.vn/api/snapshot/6623f4df6f998a001b2528eb
662b7ce71afb9c00172dc676,POINT(106.691064834595 10.7726452614037),,Cách Mạng Tháng Tám - Bùi Thị Xuân,,http://camera.thongtingiaothong.vn/api/snapshot/662b7ce71afb9c00172dc676
583f969161cfea0012cf68f7,POINT(106.781423091888 10.7646823693643),Quận 2,Nguyễn Thị Định - Đường D,300,http://camera.thongtingiaothong.vn/api/snapshot/583f969161cfea0012cf68f7
6623e8da6f998a001b2524a6,POINT(106.684530973434 10.8032933150268),,Phan Đăng Lưu - Thích Quảng Đức,,http://camera.thongtingiaothong.vn/api/snapshot/6623e8da6f998a001b2524a6
56de42f611f398ec0c481299,POINT(106.620351076126 10.7265671915496),Quận Bình Tân,Võ Văn Kiệt - An Dương Vương 2,255,http://camera.thongtingiaothong.vn/api/snapshot/56de42f611f398ec0c481299
66b1c426779f74001867415e,POINT(106.715161800385 10.8010801833774),,Điện Biên Phủ - Nguyễn Gia Trí,,http://camera.thongtingiaothong.vn/api/snapshot/66b1c426779f74001867415e
6623f1046f998a001b2527db,POINT(106.636122465134 10.7821519725547),,Lũy Bán Bích - Thoại Ngọc Hầu,,http://camera.thongtingiaothong.vn/api/snapshot/6623f1046f998a001b2527db
5d9de4de766c880017188cbb,POINT(106.790762543678 10.796827763223),,Cao tốc LTDG - Võ Chí Công,270,http://camera.thongtingiaothong.vn/api/snapshot/5d9de4de766c880017188cbb
6623f44f6f998a001b2528aa,POINT(106.765716075897 10.8349709243101),,Võ Nguyên Giáp - Đỗ Xuân Hợp (1),,http://camera.thongtingiaothong.vn/api/snapshot/6623f44f6f998a001b2528aa
662a881a1afb9c00172d2559,POINT(106.61497592926 10.7380517925754),,Kinh Dương Vương - Tên Lửa,,http://camera.thongtingiaothong.vn/api/snapshot/662a881a1afb9c00172d2559
662b4ecb1afb9c00172d8692,POINT(106.658009290695 10.7576784340111),,Nguyễn Chí Thanh - Thuận Kiều,,http://camera.thongtingiaothong.vn/api/snapshot/662b4ecb1afb9c00172d8692
5deb576d1dc17d7c5515ad15,POINT(106.704602 10.781944),,Lý Tự Trọng - Chu Mạnh Trinh,,http://camera.thongtingiaothong.vn/api/snapshot/5deb576d1dc17d7c5515ad15
5b8b2323ca057700116405d0,POINT(106.664902567863 10.8129465937096),,Trường Sơn - Ga Quốc Nội 2,,http://camera.thongtingiaothong.vn/api/snapshot/5b8b2323ca057700116405d0
63ae7a50bfd3d90017e8f2b2,POINT(106.670830249786 10.7697784337206),,Ba Tháng Hai – Sư Vạn Hạnh,,http://camera.thongtingiaothong.vn/api/snapshot/63ae7a50bfd3d90017e8f2b2
587ee0ecb807da0011e33d50,POINT(106.696482896805 10.8019970541825),Quận Bình Thạnh,Phan Đăng Lưu - Lê Văn Duyệt,15,http://camera.thongtingiaothong.vn/api/snapshot/587ee0ecb807da0011e33d50
56de42f611f398ec0c48128f,POINT(106.677197813988 10.751960277381),Quận 5,Võ Văn Kiệt - Huỳnh Mẫn Đạt,75,http://camera.thongtingiaothong.vn/api/snapshot/56de42f611f398ec0c48128f
56de42f611f398ec0c4812a2,POINT(106.7755866 10.7701157),Quận 2,Nút giao Mỹ Thủy 2,270,http://camera.thongtingiaothong.vn/api/snapshot/56de42f611f398ec0c4812a2
58b571c817139d0010f35d5d,POINT(106.677948832512 10.794472307568),Quận Phú Nhuận,Nguyễn Văn Trỗi - Trần Huy Liệu,90,http://camera.thongtingiaothong.vn/api/snapshot/58b571c817139d0010f35d5d
63bd1f21bfd3d90017ec3d04,POINT(106.737660169601 10.7052043577961),,Huỳnh Tấn Phát - Phạm Hữu Lầu,,http://camera.thongtingiaothong.vn/api/snapshot/63bd1f21bfd3d90017ec3d04
58df4d95dc195800111e04b9,POINT(106.672879457474 10.8079619154301),Quận Tân Bình,Phổ Quang - Hoàng Minh Giám,60,http://camera.thongtingiaothong.vn/api/snapshot/58df4d95dc195800111e04b9
586e28a0f9fab7001111b0b3,POINT(106.768741607666 10.872081942303),Quận Thủ Đức,Quốc lộ 1 - KCX Linh Trung 1,120,http://camera.thongtingiaothong.vn/api/snapshot/586e28a0f9fab7001111b0b3
5d8cd4ee766c880017188946,POINT(106.671452522278 10.7918902432446),,Lê Văn Sỹ - Huỳnh Văn Bánh,120,http://camera.thongtingiaothong.vn/api/snapshot/5d8cd4ee766c880017188946
662b81721afb9c00172dcc44,POINT(106.696075201035 10.7927439077816),,Đinh Tiên Hoàng - Trần Quang Khải,,http://camera.thongtingiaothong.vn/api/snapshot/662b81721afb9c00172dcc44
66b1c3c2779f740018674125,POINT(106.624095439911 10.7459416028391),,Vòng xoay Mũi Tàu Phú Lâm,,http://camera.thongtingiaothong.vn/api/snapshot/66b1c3c2779f740018674125
